cell_id,lat,lon
29.5_2.5,29.5,2.5
29.5_3.5,29.5,3.5
29.5_4.5,29.5,4.5
29.5_5.5,29.5,5.5
29.5_6.5,29.5,6.5
29.5_7.5,29.5,7.5
29.5_8.5,29.5,8.5
29.5_9.5,29.5,9.5
30.5_-7.5,30.5,-7.5
30.5_-6.5,30.5,-6.5
30.5_-5.5,30.5,-5.5
30.5_-4.5,30.5,-4.5
30.5_-3.5,30.5,-3.5
30.5_-2.5,30.5,-2.5
30.5_-1.5,30.5,-1.5
30.5_-0.5,30.5,-0.5
30.5_0.5,30.5,0.5
30.5_1.5,30.5,1.5
30.5_2.5,30.5,2.5
30.5_3.5,30.5,3.5
30.5_4.5,30.5,4.5
30.5_5.5,30.5,5.5
30.5_6.5,30.5,6.5
30.5_7.5,30.5,7.5
30.5_8.5,30.5,8.5
31.5_-7.5,31.5,-7.5
31.5_-6.5,31.5,-6.5
31.5_-5.5,31.5,-5.5
31.5_-4.5,31.5,-4.5
31.5_-3.5,31.5,-3.5
31.5_-2.5,31.5,-2.5
31.5_-1.5,31.5,-1.5
31.5_-0.5,31.5,-0.5
31.5_0.5,31.5,0.5
31.5_1.5,31.5,1.5
31.5_2.5,31.5,2.5
31.5_3.5,31.5,3.5
31.5_4.5,31.5,4.5
31.5_5.5,31.5,5.5
31.5_6.5,31.5,6.5
31.5_7.5,31.5,7.5
31.5_8.5,31.5,8.5
32.5_-7.5,32.5,-7.5
32.5_-6.5,32.5,-6.5
32.5_-5.5,32.5,-5.5
32.5_-4.5,32.5,-4.5
32.5_-3.5,32.5,-3.5
32.5_-2.5,32.5,-2.5
32.5_-1.5,32.5,-1.5
32.5_-0.5,32.5,-0.5
32.5_0.5,32.5,0.5
32.5_1.5,32.5,1.5
32.5_2.5,32.5,2.5
32.5_3.5,32.5,3.5
32.5_4.5,32.5,4.5
32.5_5.5,32.5,5.5
32.5_6.5,32.5,6.5
32.5_7.5,32.5,7.5
32.5_8.5,32.5,8.5
33.5_-6.5,33.5,-6.5
33.5_-5.5,33.5,-5.5
33.5_-4.5,33.5,-4.5
33.5_-3.5,33.5,-3.5
33.5_-2.5,33.5,-2.5
33.5_-1.5,33.5,-1.5
33.5_-0.5,33.5,-0.5
33.5_0.5,33.5,0.5
33.5_1.5,33.5,1.5
33.5_2.5,33.5,2.5
33.5_3.5,33.5,3.5
33.5_4.5,33.5,4.5
33.5_5.5,33.5,5.5
33.5_6.5,33.5,6.5
33.5_7.5,33.5,7.5
33.5_8.5,33.5,8.5
34.5_-5.5,34.5,-5.5
34.5_-4.5,34.5,-4.5
34.5_-3.5,34.5,-3.5
34.5_-2.5,34.5,-2.5
34.5_-1.5,34.5,-1.5
34.5_-0.5,34.5,-0.5
34.5_0.5,34.5,0.5
34.5_1.5,34.5,1.5
34.5_2.5,34.5,2.5
34.5_3.5,34.5,3.5
34.5_4.5,34.5,4.5
34.5_5.5,34.5,5.5
34.5_6.5,34.5,6.5
34.5_7.5,34.5,7.5
34.5_8.5,34.5,8.5
35.5_-2.5,35.5,-2.5
35.5_-1.5,35.5,-1.5
35.5_-0.5,35.5,-0.5
35.5_0.5,35.5,0.5
35.5_1.5,35.5,1.5
35.5_2.5,35.5,2.5
35.5_3.5,35.5,3.5
35.5_4.5,35.5,4.5
35.5_5.5,35.5,5.5
35.5_6.5,35.5,6.5
35.5_7.5,35.5,7.5
36.5_2.5,36.5,2.5
36.5_3.5,36.5,3.5
36.5_7.5,36.5,7.5
